Place	Abbrev	Color	Position	Price	Rent	BuildingRent	BuildingCost
Hilltop Circle	GO-HC	GO	0	-1	0	4	5
Terrace Apartments	TerAp	Brown	1	60	2	250	50
Hillside Apartments	HillA	Brown	2	60	4	450	50
Poplar Avenue	PopAv	RR	3	200	25	75	150
Chesapeake Hall	ChesH	Sky	4	100	6	550	50
Harbor Hall	HH	Sky	5	100	6	550	50
Erickson Hall	EH	Sky	6	120	8	600	50
Albin O. Kuhn Library	LB	JAIL	7	-1	-1	-1	-1
Potomac Hall	PotH	Violet	8	140	10	750	100
University Center	UniC	UTIL	9	200	25	75	150
Susquehanna Hall	SusH	Violet	10	140	10	750	100
Patapsco Hall	PatH	Violet	11	160	12	900	100
Administration Drive	AdDr	RR	12	200	25	75	100
Public Policy	PubPo	Orange	13	180	14	950	100
Physics	Phys	Orange	14	180	14	950	100
The RAC	RAC	Orange	15	200	16	1000	100
Free Parking	FrPrk	PARK	16	-1	-1	-1	-1
Biology Building	Bio	Red	17	220	18	1050	150
Math-Psych Building	MathP	Red	18	220	18	1050	150
Sondheim Hall	Sond	Red	19	240	20	1100	150
Hilltop Road	HTRd	RR	20	200	25	200	150
Fine Arts Building	FA	Yellow	21	260	22	1150	150
Meyerhoff Building	Meyer	Yellow	22	260	22	1150	150
The Commons	Com	UTIL	23	75	15	200	150
Sherman Hall	Sherm	Yellow	24	280	24	1200	150
Go to Library	Study	GTJ	25	-1	-1	-1	-1
Engineering Building	Engin	Green	26	300	26	1275	200
ITE	ITE	Green	27	300	26	1275	200
Performing Arts	PerfA	Green	28	320	28	1400	200
Walker Avenue	WlkAv	RR	29	200	25	75	150
Alumni House	AlumH	Blue	30	350	35	1500	200
Walker	Walkr	Blue	31	400	50	2000	200
